DLC,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,ATTACK_TYPE
8,19,22,22,30,8,8e,71,14,DoS
8,0,0,0,0,0,3,1,c3,DoS
8,18,80,0,ff,0e,80,1,ba,DoS
8,0e,80,0,0,52,7f,1,45,DoS
8,0,0,0,0,14,20,21,fb,DoS
8,5,20,74,68,77,0,0,4e,DoS
8,19,22,22,30,8,8e,70,26,DoS
8,0,0,0,0,0,3,2,e4,DoS
8,5,20,84,68,77,0,0,be,DoS
8,17,80,0,ff,eb,7f,2,99,DoS
8,fb,7f,0,0,45,7f,2,64,DoS
8,0,0,0,0,16,20,22,df,DoS
8,19,22,22,30,8,8e,70,37,DoS
8,0,0,0,0,0,3,3,f9,DoS
8,15,80,0,ff,e5,7f,3,37,DoS
8,f7,7f,0,0,3d,7f,3,86,DoS
8,0,0,0,0,18,24,23,e6,DoS
8,5,20,94,68,77,0,0,ae,DoS
8,0,40,60,ff,7e,c8,8,0,DoS
8,ff,0,0,0,ff,c8,8,0,DoS
8,5,22,68,9,22,21,0,6f,DoS
8,19,22,22,30,8,8e,70,4,DoS
8,0,0,0,0,0,3,4,aa,DoS
8,5,20,a4,68,77,0,0,9e,DoS
8,12,80,0,ff,0e,80,4,bb,DoS
8,fb,7f,0,0,3f,7f,4,6d,DoS
8,0,0,0,0,1a,0,24,ee,DoS
8,0,40,60,ff,7e,c6,8,0,DoS
8,ff,0,0,0,ff,c6,8,0,DoS
8,19,21,22,30,8,8e,6e,17,DoS
8,0,0,0,0,0,4,5,4e,DoS
8,13,80,0,ff,34,80,5,dc,DoS
8,5,80,0,0,42,7f,5,1c,DoS
8,0,0,0,0,2,20,25,92,DoS
8,5,20,b4,68,77,0,0,8e,DoS
8,0,40,60,ff,7e,c4,8,0,DoS
8,ff,0,0,0,ff,c4,8,0,DoS
8,19,21,22,30,8,8e,6e,28,DoS
8,d8,0,0,89,0,0,0,0,DoS
8,0,0,0,0,0,4,6,69,DoS
8,5,20,c4,68,77,0,0,fe,DoS
8,17,80,0,ff,34,80,6,92,DoS
8,9,80,0,0,36,7f,6,ce,DoS
8,0,0,0,0,4,20,26,b0,DoS
8,0,40,60,ff,7e,c7,8,0,DoS
8,ff,0,0,0,ff,c7,8,0,DoS
8,19,21,22,30,8,8e,6e,39,DoS
8,0,0,0,0,0,4,7,74,DoS
8,18,80,0,ff,0c,80,7,f7,DoS
8,5,80,0,0,23,7f,7,f9,DoS
8,0,0,0,0,6,20,27,ae,DoS
8,5,20,d4,68,77,0,0,ee,DoS
8,19,21,22,30,8,8e,6e,6,DoS
8,dc,bb,7f,14,11,20,0,14,DoS
8,0,0,0,0,0,4,8,cf,DoS
8,5,20,e4,68,77,0,0,de,DoS
8,13,80,0,ff,df,7f,8,0c,DoS
8,ee,7f,0,0,15,7f,8,43,DoS
8,0,0,0,0,8,20,28,1c,DoS
8,0,0,0,0,0,4,9,d2,DoS
8,0d,80,0,ff,e0,7f,9,7,DoS
8,e5,7f,0,0,18,7f,9,ee,DoS
8,0,0,0,0,0a,0,29,77,DoS
8,5,20,f4,68,77,0,0,ce,DoS
8,19,22,22,30,8,8e,71,25,DoS
8,0,0,0,0,0,5,0a,b9,DoS
8,5,20,4,68,77,0,0,3e,DoS
8,7,80,0,ff,4,80,0a,9f,DoS
8,ee,7f,0,0,22,7f,0a,db,DoS
8,0,0,0,0,2,21,2a,65,DoS
8,0,40,60,ff,7e,c3,8,0,DoS
8,ff,0,0,0,ff,c3,8,0,DoS
8,19,22,22,30,8,8e,71,36,DoS
8,0,0,0,0,0,5,0b,a4,DoS
8,5,80,0,ff,18,80,0b,2a,DoS
8,f7,7f,0,0,29,7f,0b,70,DoS
8,0,0,0,0,4,25,2b,50,DoS
8,0,40,60,ff,7e,c5,8,0,DoS
8,ff,0,0,0,ff,c5,8,0,DoS
8,0,0,0,0,0,5,0c,f7,DoS
8,8,80,0,ff,15,80,0c,1a,DoS
8,0e,80,0,0,30,7f,0c,97,DoS
8,0,0,0,0,6,27,2c,98,DoS
8,19,22,22,30,8,8e,70,15,DoS
8,0,0,0,0,0,5,0d,ea,DoS
8,0f,80,0,ff,10,80,0d,0,DoS
8,20,80,0,0,33,7f,0d,68,DoS
8,0,0,0,0,8,20,2d,75,DoS
8,5,22,64,9,22,21,0,6f,DoS
8,d8,59,0,89,0,0,0,0,DoS
8,0,0,0,0,0,5,0e,cd,DoS
8,5,20,44,68,77,0,0,7e,DoS
8,13,80,0,ff,1c,80,0e,2f,DoS
8,12,80,0,0,33,7f,0e,23,DoS
8,0,0,0,0,0a,0,2e,24,DoS
8,0,0,0,0,0,6,0f,4,DoS
8,15,80,0,ff,30,80,0f,db,DoS
8,5,80,0,0,36,7f,0f,80,DoS
8,0,0,0,0,2,20,2f,40,DoS
8,0,40,60,ff,7e,bf,8,0,DoS
8,ff,0,0,0,ff,bf,8,0,DoS
8,0c,bb,7f,14,11,20,0,14,DoS
8,0,0,0,0,0,6,0,bf,DoS
8,16,80,0,ff,33,80,0,0b,DoS
8,5,80,0,0,37,7f,0,b4,DoS
8,0,0,0,0,4,29,20,e8,DoS
8,0,40,60,ff,7e,c0,8,0,DoS
8,ff,0,0,0,ff,c0,8,0,DoS
8,0,0,0,0,0,6,1,a2,DoS
8,15,80,0,ff,1a,80,1,42,DoS
8,fb,7f,0,0,37,7f,1,8,DoS
8,0,0,0,0,6,32,21,cc,DoS
8,5c,84,64,9,0,1f,2,0,DoS
8,5,21,64,9,21,21,0,6f,DoS
8,19,21,22,30,8,8e,6f,27,DoS
8,0,0,0,0,0,6,2,85,DoS
8,0f,80,0,ff,6,80,2,a6,DoS
8,ee,7f,0,0,36,7f,2,2d,DoS
8,0,0,0,0,8,21,22,82,DoS
8,19,21,21,30,8,8e,6f,39,DoS
8,0,0,0,0,0,6,3,98,DoS
8,0b,80,0,ff,1a,80,3,c0,DoS
8,ee,7f,0,0,3b,7f,3,b5,DoS
8,0,0,0,0,0a,22,23,48,DoS
8,0,0,0,0,0,6,4,cb,DoS
8,0b,80,0,ff,3d,80,4,29,DoS
8,0,80,0,0,46,7f,4,33,DoS
8,0,0,0,0,0c,32,24,aa,DoS
8,0,40,60,ff,7e,c2,8,0,DoS
8,ff,0,0,0,ff,c2,8,0,DoS
8,19,22,22,30,8,8e,6f,15,DoS
8,0,0,0,0,0,6,5,d6,DoS
8,0b,80,0,ff,37,80,5,3b,DoS
8,0,80,0,0,46,7f,5,2e,DoS
8,0,0,0,0,0e,22,25,0,DoS
8,19,22,22,30,8,8e,6f,26,DoS
8,0,0,0,0,0,6,6,f1,DoS
8,0b,80,0,ff,6,80,6,bb,DoS
8,0,80,0,0,3f,7f,6,c2,DoS
8,0,0,0,0,10,29,26,b8,DoS
8,19,22,22,30,8,8e,6f,37,DoS
8,0,0,0,0,0,6,7,ec,DoS
8,0e,80,0,ff,f1,7f,7,d1,DoS
8,9,80,0,0,3a,7f,7,d9,DoS
8,0,0,0,0,12,0,27,c5,DoS
8,5,22,6c,9,22,21,0,6f,DoS
8,19,22,22,30,8,8e,6f,4,DoS
8,0,0,0,0,0,7,8,1b,DoS
8,12,80,0,ff,0e,80,8,27,DoS
8,12,80,0,0,40,7f,8,a9,DoS
8,0,0,0,0,2,20,28,13,DoS
8,5,21,6c,9,21,21,0,6f,DoS
8,d8,0,0,8b,0,0,0,0,DoS
8,0,0,0,0,0,7,9,6,DoS
8,16,80,0,ff,34,80,9,74,DoS
8,0e,80,0,0,40,7f,9,b6,DoS
8,0,0,0,0,4,0,29,7e,DoS
8,19,21,22,30,8,8e,6d,29,DoS
8,0,0,0,0,0,8,0a,82,DoS
8,19,80,0,ff,42,80,0a,42,DoS
8,9,80,0,0,30,7f,0a,57,DoS
8,0,0,0,0,2,12,2a,70,DoS
8,19,21,21,30,8,8e,6c,3c,DoS
8,0,0,0,0,0,8,0b,9f,DoS
8,18,80,0,ff,2d,80,0b,d4,DoS
8,fb,7f,0,0,20,7f,0b,48,DoS
8,0,0,0,0,4,0f,2b,e7,DoS
8,5c,84,6c,9,0,1f,2,0,DoS
8,19,21,21,30,8,8e,6c,9,DoS
8,0,0,0,0,0,8,0c,cc,DoS
8,15,80,0,ff,0d,80,0c,51,DoS
8,f2,7f,0,0,18,7f,0c,b0,DoS
8,0,0,0,0,6,2,2c,8c,DoS
8,19,21,21,30,8,8e,6c,1a,DoS
8,0,0,0,0,0,8,0d,d1,DoS
8,13,80,0,ff,0b,80,0d,9a,DoS
8,f7,7f,0,0,23,7f,0d,31,DoS
8,0,0,0,0,8,5,2d,61,DoS
8,0,0,0,0,0,8,0e,f6,DoS
8,15,80,0,ff,1f,80,0e,70,DoS
8,5,80,0,0,34,7f,0e,9e,DoS
8,0,0,0,0,0a,12,2e,8,DoS
8,0,0,0,0,0,8,0f,eb,DoS
8,16,80,0,ff,1d,80,0f,89,DoS
8,5,80,0,0,3a,7f,0f,8a,DoS
8,0,0,0,0,0c,14,2f,a5,DoS
8,0,0,0,0,0,8,0,50,DoS
8,17,80,0,ff,1,80,0,7d,DoS
8,5,80,0,0,3b,7f,0,be,DoS
8,0,0,0,0,0e,33,20,91,DoS
8,0,0,0,0,0,8,1,4d,DoS
8,13,80,0,ff,f5,7f,1,c6,DoS
8,f2,7f,0,0,41,7f,1,ca,DoS
8,0,0,0,0,10,2,21,10,DoS
8,5,22,5c,9,22,21,0,6f,DoS
8,0,0,0,0,0,8,2,6a,DoS
8,10,80,0,ff,0c,80,2,4c,DoS
8,f2,7f,0,0,4c,7f,2,68,DoS
8,0,0,0,0,12,0f,22,0f,DoS
8,0,0,0,0,0,8,3,77,DoS
8,10,80,0,ff,2a,80,3,64,DoS
8,0,80,0,0,4a,7f,3,6a,DoS
8,0,0,0,0,14,13,23,d4,DoS
8,0,0,0,0,0,8,4,24,DoS
8,12,80,0,ff,37,80,4,10,DoS
8,9,80,0,0,3a,7f,4,fe,DoS
8,0,0,0,0,16,3,24,30,DoS
8,0,0,0,0,0,8,5,39,DoS
8,13,80,0,ff,1c,80,5,e0,DoS
8,5,80,0,0,33,7f,5,db,DoS
8,0,0,0,0,18,8,25,aa,DoS
8,5c,84,5c,9,0,1f,2,0,DoS
8,19,22,22,30,8,8e,6e,27,DoS
8,0,0,0,0,0,8,6,1e,DoS
8,12,80,0,ff,f1,7f,6,ce,DoS
8,fb,7f,0,0,38,7f,6,dd,DoS
8,0,0,0,0,1a,33,26,c1,DoS
8,0,0,0,0,0,8,7,3,DoS
8,15,80,0,ff,f0,7f,7,d2,DoS
8,9,80,0,0,3e,7f,7,df,DoS
8,0,0,0,0,1c,7,27,35,DoS
8,0,0,0,0,0,8,8,b8,DoS
8,15,80,0,ff,12,80,8,bb,DoS
8,0,80,0,0,3f,7f,8,64,DoS
8,0,0,0,0,1e,0d,28,4f,DoS
8,0,40,60,ff,7e,c1,8,0,DoS
8,ff,0,0,0,ff,c1,8,0,DoS
8,0,0,0,0,0,8,9,a5,DoS
8,13,80,0,ff,23,80,9,d2,DoS
8,fb,7f,0,0,3b,7f,9,ea,DoS
8,0,0,0,0,20,2,29,d0,DoS
8,0d,80,0,ff,18,80,0a,e5,DoS
8,e5,7f,0,0,32,7f,0a,f6,DoS
8,0,0,0,0,22,8,2a,36,DoS
8,19,22,22,30,8,8e,6e,38,DoS
8,7,80,0,ff,0e,80,0b,8d,DoS
8,e5,7f,0,0,2b,7f,0b,70,DoS
8,0,0,0,0,24,0,2b,74,DoS
8,5,21,78,9,21,21,0,6f,DoS
8,19,21,21,30,8,8e,6d,8,DoS
8,0,0,0,0,0,9,0c,80,DoS
8,6,80,0,ff,1b,80,0c,12,DoS
8,fb,7f,0,0,33,7f,0c,8f,DoS
8,0,0,0,0,2,27,2c,9e,DoS
8,19,21,21,30,8,8e,69,1d,DoS
8,0,0,0,0,0,9,0d,9d,DoS
8,0d,80,0,ff,2d,80,0d,17,DoS
8,1b,80,0,0,3f,7f,0d,81,DoS
8,0,0,0,0,4,20,2d,7f,DoS
8,0,40,60,ff,7e,cb,8,0,DoS
8,ff,0,0,0,ff,cb,8,0,DoS
8,19,21,21,30,8,8e,6a,2d,DoS
8,0,0,0,0,0,9,0e,ba,DoS
8,18,80,0,ff,2e,80,0e,31,DoS
8,29,80,0,0,39,7f,0e,cf,DoS
8,0,0,0,0,6,21,2e,17,DoS
8,19,21,21,30,8,8e,69,3f,DoS
8,0,0,0,0,0,9,0f,a7,DoS
8,1e,80,0,ff,19,80,0f,5d,DoS
8,1b,80,0,0,2c,7f,0f,2f,DoS
8,0,0,0,0,8,28,2f,15,DoS
8,5,20,54,68,76,0,0,6f,DoS
8,5c,84,78,9,0,1f,2,0,DoS
8,0,40,60,ff,7e,cc,8,0,DoS
8,ff,0,0,0,ff,cc,8,0,DoS
8,19,21,21,30,8,8e,69,0c,DoS
8,0,0,0,0,0,9,0,1c,DoS
8,1d,80,0,ff,0c,80,0,90,DoS
8,fb,7f,0,0,29,7f,0,4,DoS
8,0,0,0,0,0a,26,20,42,DoS
8,5,21,70,9,21,21,0,6f,DoS
8,19,21,21,30,8,8e,68,1e,DoS
8,0,0,0,0,0,9,1,1,DoS
8,15,80,0,ff,21,80,1,ea,DoS
8,e0,7f,0,0,30,7f,1,0e,DoS
8,0,0,0,0,0c,29,21,f9,DoS
8,19,21,21,30,8,8e,6c,2b,DoS
8,0,0,1,0,a0,22,0,0,DoS
8,0,0,0,0,0,9,2,26,DoS
8,0a,80,0,ff,44,80,2,f1,DoS
8,db,7f,0,0,3b,7f,2,4a,DoS
8,0,0,0,0,0e,29,22,dd,DoS
8,0,0,0,0,0,9,3,3b,DoS
8,7,80,0,ff,48,80,3,0,DoS
8,ee,7f,0,0,42,7f,3,7e,DoS
8,0,0,0,0,10,33,23,a7,DoS
8,0,0,0,0,0,9,4,68,DoS
8,7,80,0,ff,24,80,4,9,DoS
8,0,80,0,0,4a,7f,4,39,DoS
8,0,0,0,0,12,23,24,43,DoS
8,0,0,0,0,0,9,5,75,DoS
8,9,80,0,ff,9,80,5,a0,DoS
8,9,80,0,0,51,7f,5,33,DoS
8,0,0,0,0,14,22,25,17,DoS
8,0,0,0,0,0,9,6,52,Normal
8,0f,80,0,ff,0f,80,6,51,Normal
8,17,80,0,0,52,7f,6,20,Normal
8,0,0,0,0,0,0,0,0,DoS
8,fb,7f,0,0,40,7f,2,ed,Normal
8,0,0,0,0,0a,0,22,b8,Normal
8,12,80,0,ff,1c,80,3,f3,Normal
8,f2,7f,0,0,4c,7f,3,75,Normal
8,0,0,0,0,2,20,23,dc,Normal
8,15,80,0,ff,3e,80,7,3a,Normal
8,0,0,0,0,0,6,9,4a,Normal
8,5,80,0,0,17,7f,9,71,Normal
8,0,80,0,0,29,7f,0a,43,Normal
8,0,0,0,0,10,29,2a,24,Normal
8,0,0,0,0,0,7,0c,6f,Normal
8,0,80,0,0,55,7f,0e,75,Normal
8,0,0,0,0,2,12,2e,4,Normal
8,18,80,0,ff,19,80,0f,8e,Normal
8,9,80,0,ff,f1,7f,4,78,Normal
8,db,7f,0,0,33,7f,4,8,Normal
8,0,0,0,0,0e,33,24,e5,Normal
8,6,80,0,ff,9,80,5,fc,Normal
8,ee,7f,0,0,3f,7f,5,fd,Normal
8,0,0,0,0,10,2,25,64,Normal
8,9,80,0,ff,1d,80,6,99,Normal
8,0e,80,0,0,51,7f,6,9a,Normal
8,0,0,0,0,12,0f,26,7b,Normal
8,0d,80,0,ff,19,80,7,eb,Normal
8,12,80,0,0,58,7f,7,6,Normal
8,0,0,0,0,14,13,27,a0,Normal
8,18,80,0,ff,33,80,0a,d8,Normal
8,fb,7f,0,0,4a,7f,0a,0a,Normal
8,0,0,0,0,1a,33,2a,5d,Normal
8,5c,85,74,9,0,1f,2,0,Normal
8,15,80,0,ff,f5,7f,0d,89,Normal
8,5,80,0,0,31,7f,0d,30,Normal
8,0,0,0,0,20,2,2d,a4,Normal
8,13,80,0,ff,0b,80,0f,a0,Normal
8,fb,7f,0,0,51,7f,0f,fb,Normal
8,0,0,0,0,24,0,2f,0,Normal
8,1d,80,0,ff,f8,7f,2,65,Normal
8,0e,80,0,0,2c,7f,2,23,Normal
8,19,21,21,30,8,8e,69,2e,Normal
8,16,80,0,ff,21,80,6,5e,Normal
8,e9,7f,0,0,32,7f,6,d1,Normal
8,10,80,0,ff,0b,80,7,af,Normal
8,e5,7f,0,0,26,7f,7,69,Normal
8,0,0,0,0,10,33,27,d3,Normal
8,0,0,0,0,14,22,29,8b,Normal
8,19,80,0,ff,37,80,0a,83,Normal
8,0,0,0,0,0,9,0b,d3,Normal
8,1a,80,0,ff,27,80,0b,61,Normal
8,18,80,0,ff,14,80,0c,2c,Normal
8,f7,7f,0,0,53,7f,0c,64,Normal
8,18,80,0,ff,3e,80,0f,34,Normal
8,9,80,0,0,34,7f,0f,38,Normal
8,0,0,0,0,2,29,2f,56,Normal
8,13,80,0,ff,0,80,1,86,Normal
8,80,89,0,0,23,0,0,0,Normal
8,ee,7f,0,0,1c,7f,1,35,Normal
8,0d,80,0,ff,16,80,2,4,Normal
8,e9,7f,0,0,30,7f,2,a6,Normal
8,0,0,0,0,8,29,22,d8,Normal
8,0b,80,0,ff,2e,80,3,ee,Normal
8,f7,7f,0,0,3f,7f,3,85,Normal
8,0,0,0,0,0a,20,23,d0,Normal
8,10,80,0,ff,0d,80,5,90,Normal
8,0e,80,0,0,37,7f,5,e8,Normal
8,0,0,0,0,0e,23,25,4c,Normal
8,10,80,0,ff,f0,7f,6,fb,Normal
8,0,80,0,0,33,7f,6,c8,Normal
8,0,0,0,0,10,0b,26,55,Normal
8,5,21,7c,9,21,21,0,6f,Normal
8,10,80,0,ff,0,80,7,2f,Normal
8,0,80,0,0,3a,7f,7,56,Normal
8,0,0,0,0,12,25,27,d1,Normal
8,10,80,0,ff,2d,80,8,21,Normal
8,0,80,0,0,38,7f,8,ee,Normal
8,0,0,0,0,14,20,28,0e,Normal
8,18,80,0,ff,20,80,0a,4c,Normal
8,0e,80,0,0,1e,7f,0a,e0,Normal
8,0,0,0,0,18,0,2a,4b,Normal
8,0,40,60,ff,7e,d7,8,0,Normal
8,ff,0,0,0,ff,d7,8,0,Normal
8,16,80,0,ff,0e,80,0b,69,Normal
8,5c,85,7c,9,0,1f,2,0,Normal
8,f7,7f,0,0,1e,7f,0b,d2,Normal
8,0,40,60,ff,7e,d9,8,0,Normal
8,ff,0,0,0,ff,d9,8,0,Normal
8,ff,0,0,0,ff,d8,8,0,Normal
8,0,0,0,0,8,25,2e,33,Normal
8,17,80,0,0,46,7f,2,4a,Normal
8,1b,80,0,ff,5,80,4,b4,Normal
8,12,80,0,0,31,7f,4,f2,Normal
8,0,0,0,0,14,21,24,de,Normal
8,ee,7f,0,0,29,7f,6,c7,Normal
8,0,0,0,0,2,20,26,b5,Normal
8,0,0,0,0,4,3,29,aa,Normal
8,fb,7f,0,0,30,7f,0a,4d,Normal
8,16,80,0,ff,4,80,0e,0f,Normal
8,0,80,0,0,1c,7f,0e,96,Normal
8,fb,7f,0,0,4f,7f,5,38,Normal
8,20,80,0,ff,40,80,6,84,Normal
8,16,80,0,ff,6,80,8,42,Normal
8,e0,7f,0,0,1a,7f,8,c4,Normal
8,0a,80,0,ff,39,80,0b,c9,Normal
8,fb,7f,0,0,2d,7f,0b,cd,Normal
8,0,40,60,ff,7d,cc,8,0,Normal
8,16,80,0,ff,3a,80,0,88,Normal
8,17,80,0,0,32,7f,0,3e,Normal
8,0,0,0,0,4,29,20,e8,Normal
8,0,0,0,0,8,21,22,82,Normal
8,0,0,0,0,10,29,26,b8,Normal
8,12,80,0,0,37,7f,8,6b,Normal
8,19,21,22,30,8,8e,6f,38,Normal
8,db,7f,0,0,36,7f,2,cf,Normal
8,6,80,0,ff,2d,80,3,84,Normal
8,f7,7f,0,0,39,7f,3,80,Normal
8,0,0,0,0,14,13,23,d4,Normal
8,19,21,21,30,8,8e,6d,19,Normal
8,15,80,0,ff,0b,80,6,86,Normal
8,5c,85,6c,9,0,1f,2,0,Normal
8,13,80,0,ff,5,80,7,41,Normal
8,fb,7f,0,0,32,7f,7,cf,Normal
8,0,0,0,0,1c,7,27,35,Normal
8,19,21,21,30,8,8e,6d,8,Normal
8,10,80,0,ff,1c,80,8,86,Normal
8,f2,7f,0,0,42,7f,8,b3,Normal
8,0,0,0,0,1e,0d,28,4f,Normal
8,9,80,0,0,4f,7f,0a,99,Normal
8,19,21,21,30,8,8e,6d,3b,Normal
8,0,0,0,0,4,20,2d,7f,Normal
8,19,80,0,ff,7,80,0f,c2,Normal
8,f2,7f,0,0,31,7f,0f,24,Normal
8,0,0,0,0,8,28,2f,15,Normal
8,10,80,0,ff,f4,7f,1,ae,Normal
8,13,80,0,ff,1b,80,4,77,Normal
8,0e,80,0,0,5b,7f,4,af,Normal
8,12,80,0,ff,5,80,5,26,Normal
8,19,21,21,30,8,8e,6d,8,Normal
8,16,80,0,ff,20,80,9,6a,Normal
8,1b,80,0,0,2b,7f,9,eb,Normal
8,1b,80,0,ff,8,80,0a,97,Normal
8,0e,80,0,0,25,7f,0a,48,Normal
8,19,21,21,30,8,8e,6e,18,Normal
8,14,0,0,0,0,0,0,0,Normal
8,8,0,0,0,0,0,0,0,Normal
8,2,80,0,ff,fb,7f,0,36,Normal
8,db,7f,0,0,3f,7f,0,76,Normal
8,3b,80,0,0,33,7f,2,5f,Normal
8,21,80,0,ff,2c,80,3,ea,Normal
8,3b,80,0,0,2a,7f,3,d9,Normal
8,0,0,0,0,12,25,23,a5,Normal
8,0,0,0,0,16,20,25,8c,Normal
8,0b,80,0,ff,0b,80,6,3e,Normal
8,db,7f,0,0,42,7f,6,f5,Normal
8,0,0,0,0,18,0,26,d7,Normal
8,0f,80,0,ff,14,80,8,6f,Normal
8,0e,80,0,0,34,7f,8,e5,Normal
8,0,0,0,0,4,22,28,8e,Normal
8,12,80,0,ff,0b,80,9,b3,Normal
8,0e,80,0,0,26,7f,9,e3,Normal
8,0,0,0,0,6,26,29,bd,Normal
8,13,80,0,ff,1c,80,0a,5b,Normal
8,0,0,0,0,0,1,0c,da,Normal
8,11,80,0,ff,3a,80,0c,9a,Normal
8,fb,7f,0,0,2a,7f,0c,14,Normal
8,0,0,0,0,0c,20,2c,6e,Normal
8,0,0,0,0,0,1,0e,e0,Normal
8,13,80,0,ff,fe,7f,0e,fd,Normal
8,5,80,0,0,2b,7f,0e,0,Normal
8,0,0,0,0,10,27,2e,bf,Normal
8,0d,80,0,ff,1a,80,0,34,Normal
8,f2,7f,0,0,46,7f,0,5d,Normal
8,0,0,0,0,14,21,20,aa,Normal
8,0d,80,0,ff,26,80,1,0b,Normal
8,fb,7f,0,0,45,7f,1,43,Normal
8,0,0,0,0,16,0,21,8d,Normal
8,9,80,0,0,34,7f,3,a4,Normal
8,19,21,21,30,8,8e,6e,7,Normal
8,0,0,0,0,0,3,5,b7,Normal
8,15,80,0,ff,1c,80,5,33,Normal
8,5,80,0,0,5a,7f,5,8,Normal
8,0,0,0,0,4,3,25,36,Normal
8,4,0,a5,1,0,0,0,0,Normal
8,19,80,0,ff,27,80,6,7,Normal
8,12,80,0,0,58,7f,6,1b,Normal
8,20,80,0,ff,15,80,7,68,Normal
8,20,80,0,0,46,7f,7,7b,Normal
8,0,0,0,0,8,22,27,3f,Normal
8,23,80,0,ff,fb,7f,8,ec,Normal
8,9,80,0,0,2d,7f,8,f0,Normal
8,0,0,0,0,0a,21,28,53,Normal
8,0b,80,0,ff,2f,80,0a,94,Normal
8,c9,7f,0,0,37,7f,0a,ab,Normal
8,11,80,0,ff,0,80,0d,a0,Normal
8,25,80,0,0,37,7f,0d,5a,Normal
8,0,0,0,0,14,20,2d,67,Normal
8,19,21,21,30,8,8e,6e,29,Normal
8,0,0,0,0,16,20,2e,43,Normal
8,5,22,74,9,22,21,0,6f,Normal
8,10,80,0,ff,1b,80,0f,5f,Normal
8,10,80,0,ff,2d,80,1,d4,Normal
8,12,80,0,0,24,7f,1,0a,Normal
8,0,0,0,0,2,20,21,e6,Normal
8,16,80,0,ff,7,80,2,1f,Normal
8,0e,80,0,0,1d,7f,2,84,Normal
8,0,0,0,0,4,20,22,c4,Normal
8,5c,85,74,9,0,1f,2,0,Normal
8,0,0,0,0,0,4,4,53,Normal
8,10,80,0,ff,18,80,4,1c,Normal
8,f2,7f,0,0,37,7f,4,ee,Normal
